W,107,98,36,81,.444,13,27,.481,22,33,.667,7,34,41,25,13,2,12,23,33,74,.446,7,25,.280,25,33,.758,8,37,45,23,5,5,21,25,
W,93,91,34,79,.430,10,25,.400,15,20,.750,8,29,37,23,12,5,18,19,32,81,.395,7,26,.269,20,21,.952,14,33,47,17,12,3,23,16,
W,104,96,39,86,.453,8,29,.276,18,21,.857,9,40,49,23,3,6,15,13,39,90,.433,14,41,.341,4,9,.444,8,33,41,30,6,6,12,21,
W,106,97,43,84,.512,6,21,.286,14,17,.824,11,27,38,27,10,4,12,22,29,69,.420,13,38,.342,26,33,.788,10,27,37,18,7,6,17,14,
L,84,92,30,77,.390,11,25,.440,13,16,.813,5,37,42,20,8,9,19,14,35,95,.368,13,37,.351,9,17,.529,17,38,55,24,14,3,16,12,
W,130,105,53,88,.602,20,36,.556,4,7,.571,10,23,33,42,8,6,13,18,39,81,.481,8,20,.400,19,20,.950,16,24,40,21,10,2,16,12,
L,102,115,34,81,.420,9,27,.333,25,27,.926,8,24,32,18,11,3,17,18,42,84,.500,13,31,.419,18,20,.900,11,33,44,28,8,9,19,20,
W,96,87,39,83,.470,8,18,.444,10,12,.833,7,31,38,22,11,6,11,20,32,78,.410,10,26,.385,13,21,.619,11,34,45,19,7,6,18,14,
W,91,86,34,76,.447,5,23,.217,18,27,.667,7,27,34,25,9,6,10,14,34,85,.400,7,18,.389,11,15,.733,19,35,54,21,6,4,21,22,
W,110,103,38,84,.452,12,31,.387,22,30,.733,9,30,39,25,11,5,12,24,38,81,.469,7,20,.350,20,25,.800,9,36,45,23,7,5,20,29,
L,95,114,31,87,.356,8,22,.364,25,30,.833,15,29,44,24,14,4,15,20,44,84,.524,14,30,.467,12,20,.600,10,34,44,39,8,7,18,23,
L,115,123,41,82,.500,13,29,.448,20,25,.800,7,27,34,20,9,4,11,16,43,84,.512,13,30,.433,24,26,.923,10,34,44,26,6,6,12,19,
L,95,114,38,80,.475,12,24,.500,7,7,1.000,6,23,29,25,13,2,18,15,46,82,.561,7,17,.412,15,17,.882,10,33,43,30,8,4,16,14,
W,95,83,39,90,.433,10,31,.323,7,10,.700,12,33,45,21,9,8,13,17,32,78,.410,3,16,.188,16,20,.800,10,32,42,19,7,3,17,14,
W,99,86,37,72,.514,6,18,.333,19,24,.792,5,33,38,31,12,4,16,13,32,82,.390,11,35,.314,11,15,.733,11,30,41,20,9,6,18,20,
L,100,115,37,86,.430,15,30,.500,11,14,.786,7,29,36,32,6,4,10,17,42,80,.525,12,26,.462,19,22,.864,7,35,42,28,4,6,8,16,
W,101,88,36,79,.456,9,29,.310,20,24,.833,12,30,42,29,5,4,11,20,34,75,.453,4,17,.235,16,23,.696,13,26,39,26,4,2,11,22,
L,95,105,40,84,.476,8,25,.320,7,10,.700,12,31,43,25,8,0,17,14,41,83,.494,11,29,.379,12,17,.706,9,29,38,26,11,6,11,14,
W,131,99,49,82,.598,17,33,.515,16,19,.842,7,27,34,40,15,4,12,16,39,80,.488,10,23,.435,11,17,.647,12,27,39,22,7,2,21,15,
W,96,69,41,83,.494,4,25,.160,10,14,.714,8,46,54,21,9,4,15,17,26,83,.313,4,20,.200,13,18,.722,9,28,37,16,5,6,15,9,
W,114,111,43,86,.500,11,28,.393,17,25,.680,10,30,40,35,11,4,11,18,41,87,.471,7,26,.269,22,25,.880,14,33,47,27,7,4,12,20,
W,104,80,41,82,.500,10,28,.357,12,16,.750,9,35,44,31,10,4,13,18,30,83,.361,8,30,.267,12,18,.667,12,34,46,21,8,3,13,15,
L,99,108,36,87,.414,9,29,.310,18,24,.750,7,31,38,24,10,2,11,22,39,85,.459,9,21,.429,21,27,.778,14,37,51,22,8,6,19,19,
L,108,112,39,88,.443,11,32,.344,19,23,.826,12,25,37,27,10,3,8,17,43,77,.558,13,25,.520,13,19,.684,9,30,39,33,7,7,17,19,
