L,87,93,32,66,.485,3,13,.231,20,29,.690,7,26,33,15,10,7,22,27,38,86,.442,5,17,.294,12,23,.522,19,29,48,15,9,6,17,25,
L,98,105,34,76,.447,4,16,.250,26,38,.684,18,34,52,13,5,7,17,29,35,84,.417,6,15,.400,29,34,.853,17,24,41,18,10,7,7,24,
L,77,87,31,74,.419,3,16,.188,12,12,1.000,8,29,37,15,15,3,23,22,34,76,.447,2,13,.154,17,29,.586,15,29,44,16,15,7,21,15,
L,88,95,33,70,.471,7,20,.350,15,18,.833,4,28,32,14,9,6,17,21,36,74,.486,5,15,.333,18,22,.818,9,27,36,23,6,2,18,19,
W,97,87,40,89,.449,7,20,.350,10,14,.714,10,32,42,22,5,4,14,18,37,80,.463,1,10,.100,12,18,.667,11,31,42,14,8,4,20,22,
W,91,89,34,95,.358,2,14,.143,21,26,.808,19,31,50,19,11,5,11,24,33,83,.398,4,20,.200,19,29,.655,16,40,56,19,4,4,20,24,
W,111,110,46,89,.517,10,21,.476,9,12,.750,11,28,39,24,4,5,12,25,41,71,.577,5,10,.500,23,34,.676,4,27,31,26,4,7,10,13,
W,120,105,51,85,.600,5,12,.417,13,15,.867,8,28,36,28,11,7,13,19,39,85,.459,7,18,.389,20,23,.870,14,23,37,27,7,4,18,18,
L,83,89,29,77,.377,7,21,.333,18,25,.720,10,35,45,15,5,2,15,26,30,82,.366,3,12,.250,26,30,.867,12,38,50,16,8,5,11,20,
L,96,109,37,81,.457,7,18,.389,15,19,.789,4,30,34,17,8,4,15,21,40,82,.488,9,26,.346,20,22,.909,8,39,47,21,9,2,18,20,
L,88,106,34,86,.395,5,18,.278,15,18,.833,15,35,50,14,6,8,21,21,40,94,.426,7,23,.304,19,22,.864,16,34,50,19,13,3,13,17,
L,85,109,32,99,.323,7,20,.350,14,20,.700,18,25,43,16,10,3,12,19,41,72,.569,9,21,.429,18,24,.750,6,42,48,22,7,10,19,20,
L,93,104,39,86,.453,4,15,.267,11,12,.917,10,34,44,18,4,3,17,20,39,81,.481,8,21,.381,18,24,.750,7,34,41,27,12,6,11,14,
L,82,97,35,69,.507,5,11,.455,7,9,.778,5,26,31,11,8,1,21,16,38,81,.469,6,17,.353,15,18,.833,15,26,41,19,13,3,15,13,
W,94,87,33,72,.458,4,16,.250,24,31,.774,7,40,47,18,3,7,17,14,36,93,.387,5,20,.250,10,12,.833,12,26,38,23,8,3,8,26,
W,96,86,35,80,.438,9,20,.450,17,21,.810,11,28,39,22,8,5,11,24,33,74,.446,3,9,.333,17,20,.850,9,28,37,17,2,3,16,15,
L,93,100,38,89,.427,7,20,.350,10,13,.769,17,29,46,14,1,7,15,20,36,80,.450,3,9,.333,25,31,.806,9,32,41,24,7,6,8,18,
W,103,86,38,76,.500,11,23,.478,16,26,.615,8,39,47,26,8,7,17,22,32,86,.372,4,18,.222,18,27,.667,13,30,43,13,6,2,17,21,
L,85,92,35,84,.417,4,19,.211,11,15,.733,10,31,41,17,7,2,10,21,36,78,.462,8,17,.471,12,20,.600,11,38,49,28,4,8,13,16,
W,108,100,38,77,.494,11,24,.458,21,27,.778,11,29,40,20,7,4,12,23,37,78,.474,8,18,.444,18,21,.857,8,25,33,21,4,6,12,17,
W,106,98,43,83,.518,6,20,.300,14,18,.778,10,27,37,25,5,6,9,18,34,77,.442,6,17,.353,24,29,.828,15,27,42,11,4,4,14,19,
W,114,73,39,72,.542,14,25,.560,22,27,.815,7,39,46,22,9,3,16,19,25,73,.342,6,16,.375,17,23,.739,4,22,26,13,10,3,14,18,
L,96,104,35,80,.438,11,22,.500,15,21,.714,10,25,35,14,8,1,9,22,39,70,.557,3,12,.250,23,28,.821,8,34,42,19,4,2,13,16,
L,88,96,33,80,.413,6,17,.353,16,19,.842,8,32,40,20,5,5,16,23,34,76,.447,6,17,.353,22,34,.647,8,29,37,20,9,6,13,17,
W,90,86,33,68,.485,7,21,.333,17,25,.680,6,36,42,17,1,5,15,19,32,80,.400,5,21,.238,17,19,.895,9,29,38,20,7,1,6,19,
W,101,97,38,86,.442,7,21,.333,18,23,.783,14,36,50,19,3,3,12,25,37,98,.378,8,29,.276,15,26,.577,19,32,51,22,6,0,7,20,
L,106,107,40,81,.494,6,18,.333,20,22,.909,8,33,41,22,8,1,18,20,41,88,.466,10,27,.370,15,20,.750,13,23,36,22,14,4,16,18,
L,99,106,42,87,.483,4,20,.200,11,18,.611,11,29,40,25,5,2,12,14,41,87,.471,8,21,.381,16,22,.727,12,35,47,24,10,7,11,19,
