L,94,98,33,82,.402,9,24,.375,19,24,.792,9,28,37,24,8,8,15,27,35,84,.417,5,15,.333,23,34,.676,16,32,48,21,7,3,11,20,
W,101,100,33,68,.485,8,16,.500,27,39,.692,7,33,40,21,5,5,18,29,32,67,.478,7,14,.500,29,36,.806,4,26,30,24,10,2,15,29,
L,86,107,34,89,.382,4,17,.235,14,15,.933,11,31,42,23,5,8,12,23,42,89,.472,7,17,.412,16,22,.727,13,41,54,19,7,4,15,19,
W,104,88,40,78,.513,4,11,.364,20,32,.625,11,28,39,23,11,3,15,27,31,82,.378,4,18,.222,22,30,.733,19,28,47,17,6,3,20,24,
L</span>,108,112,41,88,.466,6,24,.250,20,29,.690,11,40,51,23,11,3,21,27,41,88,.466,10,24,.417,20,26,.769,7,29,36,28,10,4,16,19,
L,91,96,35,76,.461,8,19,.421,13,16,.813,7,31,38,20,9,2,15,21,37,80,.463,7,14,.500,15,20,.750,11,31,42,24,9,3,13,18,
L,86,107,31,82,.378,3,13,.231,21,27,.778,10,42,52,14,2,7,15,23,41,94,.436,8,24,.333,17,23,.739,12,38,50,26,8,3,6,23,
W</span>,100,98,38,87,.437,2,12,.167,22,29,.759,14,35,49,14,8,4,12,25,34,79,.430,10,28,.357,20,25,.800,9,33,42,17,8,4,16,23,
L,103,110,36,85,.424,9,23,.391,22,33,.667,16,23,39,24,7,1,11,26,40,77,.519,10,23,.435,20,30,.667,13,38,51,23,6,7,17,21,
L,98,108,31,85,.365,3,13,.231,33,35,.943,14,26,40,12,9,4,7,18,41,76,.539,8,18,.444,18,21,.857,9,37,46,19,5,5,14,25,
L,91,95,32,67,.478,9,19,.474,18,25,.720,6,30,36,21,6,5,17,27,36,81,.444,5,13,.385,18,30,.600,17,24,41,17,7,4,15,20,
L,81,111,31,78,.397,5,16,.313,14,20,.700,10,37,47,7,5,2,20,18,40,97,.412,11,36,.306,20,23,.870,17,30,47,28,10,6,8,19,
L,97,109,35,77,.455,14,26,.538,13,18,.722,8,27,35,23,6,2,17,28,38,80,.475,5,17,.294,28,40,.700,13,31,44,20,9,3,9,19,
W,102,100,39,77,.506,4,14,.286,20,22,.909,11,28,39,25,7,3,15,18,34,78,.436,11,26,.423,21,22,.955,9,25,34,18,4,1,15,24,
L,94,99,31,83,.373,11,30,.367,21,26,.808,11,33,44,21,6,10,12,23,34,85,.400,13,30,.433,18,22,.818,11,37,48,21,5,7,10,24,
