L,95,107,35,83,.422,7,26,.269,18,23,.783,11,30,41,23,11,4,18,27,37,72,.514,11,20,.550,22,29,.759,5,35,40,26,10,7,18,21,
W,82,81,31,76,.408,3,16,.188,17,19,.895,13,35,48,20,5,3,18,16,31,86,.360,9,24,.375,10,14,.714,13,29,42,20,12,8,15,24,
L,104,107,42,93,.452,3,14,.214,17,19,.895,17,34,51,28,8,5,18,14,42,86,.488,11,22,.500,12,18,.667,10,29,39,24,8,6,15,18,
L,80,97,26,73,.356,5,15,.333,23,27,.852,11,29,40,15,4,5,17,20,36,86,.419,7,18,.389,18,21,.857,17,35,52,21,9,7,14,24,
W,97,73,38,72,.528,3,8,.375,18,25,.720,11,37,48,26,12,6,20,24,25,85,.294,7,20,.350,16,25,.640,17,23,40,18,13,4,17,21,
W,96,81,34,83,.410,4,16,.250,24,26,.923,14,27,41,24,9,7,11,21,31,75,.413,5,14,.357,14,20,.700,11,27,38,13,7,11,18,22,
W,96,80,36,80,.450,7,16,.438,17,19,.895,11,37,48,21,6,5,15,21,29,82,.354,5,21,.238,17,22,.773,11,32,43,19,8,6,16,21,
W,110,94,40,79,.506,11,19,.579,19,24,.792,9,33,42,25,6,6,13,24,34,85,.400,4,16,.250,22,28,.786,12,25,37,16,5,8,9,19,
W,86,81,27,75,.360,6,12,.500,26,31,.839,9,45,54,17,3,8,16,18,33,91,.363,7,16,.438,8,16,.500,12,32,44,25,6,8,9,23,
L,87,97,38,98,.388,3,10,.300,8,14,.571,22,36,58,22,4,3,17,18,38,84,.452,9,21,.429,12,22,.545,13,35,48,23,6,10,15,17,
L,95,98,32,83,.386,5,14,.357,26,29,.897,17,35,52,11,8,1,14,17,36,88,.409,12,26,.462,14,15,.933,10,29,39,21,11,3,12,18,
L,82,121,32,81,.395,4,12,.333,14,23,.609,11,28,39,24,2,1,14,18,48,82,.585,8,21,.381,17,19,.895,6,38,44,32,8,5,9,23,
L</span>,83,89,31,79,.392,1,13,.077,20,28,.714,14,35,49,11,4,2,18,26,33,85,.388,7,17,.412,16,19,.842,12,33,45,22,8,4,15,25,
W,99,79,42,79,.532,6,17,.353,9,12,.750,8,32,40,24,9,1,16,15,34,77,.442,2,12,.167,9,19,.474,12,26,38,12,11,4,15,19,
L,93,97,39,82,.476,6,15,.400,9,15,.600,9,27,36,31,5,4,9,22,37,78,.474,7,15,.467,16,19,.842,10,31,41,20,5,7,10,18,
L</span>,128,131,48,101,.475,8,23,.348,24,34,.706,16,39,55,34,4,7,16,23,50,113,.442,11,23,.478,20,27,.741,22,32,54,25,9,5,11,34,
W,107,87,37,74,.500,10,19,.526,23,32,.719,13,36,49,24,3,2,15,20,32,77,.416,6,22,.273,17,24,.708,6,21,27,16,9,5,9,25,
L,75,92,30,90,.333,3,18,.167,12,15,.800,11,33,44,17,8,7,13,11,34,80,.425,12,19,.632,12,15,.800,13,38,51,15,8,9,18,20,
L,74,78,31,83,.373,3,15,.200,9,14,.643,13,29,42,21,7,8,18,23,30,75,.400,2,11,.182,16,20,.800,12,27,39,14,7,11,15,16,
L,78,83,24,72,.333,6,21,.286,24,29,.828,16,32,48,12,9,7,22,19,31,76,.408,5,19,.263,16,19,.842,10,29,39,17,16,7,13,21,
W,91,90,34,81,.420,7,24,.292,16,19,.842,17,27,44,26,8,6,15,22,33,74,.446,4,10,.400,20,25,.800,13,25,38,18,6,8,14,19,
L,77,99,31,86,.360,6,18,.333,9,12,.750,10,31,41,19,5,9,15,20,40,83,.482,5,15,.333,14,18,.778,7,36,43,26,5,11,11,17,
L,82,83,28,81,.346,5,18,.278,21,26,.808,7,38,45,19,4,5,5,20,33,83,.398,5,12,.417,12,16,.750,9,45,54,21,4,3,11,20,
L,94,109,38,79,.481,5,12,.417,13,23,.565,9,24,33,26,8,2,17,19,44,82,.537,8,22,.364,13,16,.813,9,28,37,23,8,5,13,22,
L,95,107,29,77,.377,8,29,.276,29,39,.744,11,29,40,20,8,6,16,16,43,84,.512,9,15,.600,12,14,.857,8,35,43,26,12,7,16,27,
W,100,84,37,69,.536,10,15,.667,16,24,.667,9,40,49,27,4,5,21,14,36,90,.400,4,18,.222,8,9,.889,11,25,36,21,6,4,9,20,
W,95,78,36,74,.486,5,17,.294,18,20,.900,11,34,45,20,10,3,15,22,25,71,.352,5,17,.294,23,31,.742,13,26,39,11,7,5,16,19,
L,83,105,32,74,.432,3,17,.176,16,19,.842,7,27,34,22,9,3,15,17,41,78,.526,13,26,.500,10,11,.909,7,32,39,26,8,7,16,20,
W,95,91,28,65,.431,6,15,.400,33,42,.786,9,28,37,16,13,10,20,21,35,78,.449,0,5,.000,21,28,.750,12,25,37,19,13,6,20,27,
L,79,85,30,82,.366,2,9,.222,17,21,.810,9,36,45,17,5,4,15,21,29,69,.420,4,14,.286,23,31,.742,7,37,44,16,5,6,15,22,
W,94,82,35,84,.417,2,15,.133,22,28,.786,12,29,41,26,7,6,13,19,32,81,.395,2,12,.167,16,23,.696,13,35,48,15,7,8,19,26,
W,91,84,33,81,.407,6,17,.353,19,24,.792,20,32,52,19,12,12,13,15,32,86,.372,8,28,.286,12,14,.857,17,26,43,21,9,8,15,20,
W,92,87,36,82,.439,6,14,.429,14,23,.609,14,36,50,26,6,5,14,18,33,82,.402,6,23,.261,15,19,.789,9,32,41,12,7,8,12,21,
W,81,72,24,62,.387,6,16,.375,27,39,.692,8,36,44,18,5,5,11,19,28,88,.318,7,21,.333,9,12,.750,16,32,48,15,6,4,12,29,
W,103,97,38,81,.469,6,14,.429,21,26,.808,12,34,46,26,6,8,10,19,37,79,.468,4,11,.364,19,20,.950,6,28,34,18,5,7,9,23,
L,88,102,34,79,.430,9,21,.429,11,19,.579,14,28,42,25,8,3,17,21,39,75,.520,7,18,.389,17,28,.607,8,32,40,25,9,5,12,17,
W</span>,128,125,48,113,.425,12,33,.364,20,23,.870,18,41,59,31,9,6,17,22,53,104,.510,6,26,.231,13,16,.813,8,44,52,24,9,5,18,28,
L,93,96,35,76,.461,9,24,.375,14,16,.875,7,27,34,24,8,5,15,15,40,79,.506,6,11,.545,10,13,.769,8,28,36,27,9,8,16,17,
W,103,78,40,82,.488,6,20,.300,17,20,.850,11,41,52,27,10,10,16,15,34,97,.351,2,19,.105,8,12,.667,16,26,42,17,9,5,17,20,
W</span>,102,100,39,102,.382,7,21,.333,17,24,.708,19,36,55,26,13,5,15,18,35,83,.422,8,25,.320,22,26,.846,9,38,47,22,11,9,21,20,
W,98,87,37,70,.529,10,21,.476,14,18,.778,7,36,43,24,5,8,10,19,33,88,.375,8,19,.421,13,18,.722,19,22,41,23,7,2,9,18,
L,95,112,40,93,.430,6,19,.316,9,11,.818,20,26,46,27,5,2,8,17,41,76,.539,13,21,.619,17,26,.654,10,30,40,26,4,2,7,17,
W,89,87,31,77,.403,11,23,.478,16,22,.727,4,37,41,24,11,5,13,16,37,88,.420,6,19,.316,7,10,.700,11,34,45,24,3,8,15,18,
L,86,95,32,85,.376,8,24,.333,14,16,.875,11,31,42,20,9,4,13,25,34,73,.466,5,17,.294,22,26,.846,5,35,40,20,8,8,14,14,
W,96,86,37,83,.446,4,12,.333,18,23,.783,14,25,39,21,9,8,7,18,33,71,.465,5,13,.385,15,16,.938,6,25,31,16,5,2,19,23,
L,79,88,27,70,.386,3,16,.188,22,33,.667,16,26,42,20,4,7,17,17,38,80,.475,4,9,.444,8,10,.800,10,22,32,22,8,14,12,25,
L,70,99,22,78,.282,4,20,.200,22,34,.647,8,22,30,17,11,2,14,24,36,69,.522,2,8,.250,25,34,.735,10,43,53,18,7,3,22,26,
W,101,92,35,78,.449,6,18,.333,25,31,.806,8,36,44,13,9,6,18,23,31,80,.388,8,28,.286,22,29,.759,11,36,47,12,8,5,21,23,
L,87,102,32,77,.416,4,14,.286,19,20,.950,14,31,45,20,8,3,15,16,40,83,.482,11,22,.500,11,15,.733,12,27,39,24,7,6,12,18,
W,92,86,34,80,.425,7,22,.318,17,17,1.000,8,35,43,21,13,6,14,16,36,82,.439,6,19,.316,8,11,.727,7,36,43,26,7,5,18,15,
W,100,85,43,85,.506,8,20,.400,6,13,.462,17,40,57,30,6,5,14,9,35,80,.438,10,23,.435,5,9,.556,5,23,28,21,9,6,10,16,
W,92,76,35,70,.500,4,14,.286,18,21,.857,9,36,45,26,7,8,15,23,26,67,.388,5,17,.294,19,28,.679,4,23,27,12,8,5,15,21,
W,94,92,36,72,.500,7,12,.583,15,20,.750,8,30,38,25,4,8,16,24,35,83,.422,3,17,.176,19,23,.826,12,21,33,16,7,4,10,24,
W,117,89,42,84,.500,10,17,.588,23,27,.852,11,39,50,28,8,7,12,22,35,87,.402,7,15,.467,12,22,.545,12,28,40,12,5,8,14,23,
L,79,93,29,81,.358,6,21,.286,15,17,.882,15,36,51,18,2,4,12,15,37,88,.420,9,23,.391,10,14,.714,15,26,41,22,8,7,7,19,
W,107,103,37,88,.420,8,24,.333,25,29,.862,15,33,48,24,11,2,12,15,38,84,.452,14,33,.424,13,16,.813,11,31,42,21,7,2,16,22,
