W,113,102,39,78,.500,9,24,.375,26,33,.788,12,32,44,24,6,4,18,27,34,78,.436,10,25,.400,24,32,.750,13,25,38,23,5,3,16,30,
L</span>,108,111,42,89,.472,7,21,.333,17,24,.708,15,26,41,21,10,6,19,26,40,77,.519,6,18,.333,25,30,.833,6,32,38,25,13,4,20,21,
W,87,77,34,76,.447,2,13,.154,17,29,.586,15,29,44,16,15,7,21,15,31,74,.419,3,16,.188,12,12,1.000,8,29,37,15,15,3,23,22,
L,91,99,33,87,.379,5,25,.200,20,25,.800,13,29,42,13,10,6,14,24,38,73,.521,9,21,.429,14,23,.609,4,41,45,26,6,9,18,21,
L,110,119,39,91,.429,11,31,.355,21,27,.778,16,26,42,22,10,6,13,27,37,82,.451,6,17,.353,39,44,.886,17,35,52,22,9,9,13,22,
L,103,109,42,91,.462,3,14,.214,16,21,.762,18,24,42,20,10,2,8,13,42,82,.512,11,23,.478,14,15,.933,13,31,44,23,7,2,15,16,
L,95,113,37,87,.425,3,18,.167,18,27,.667,16,18,34,16,12,4,12,25,42,70,.600,8,16,.500,21,26,.808,10,33,43,28,5,3,23,25,
W,97,90,38,85,.447,6,23,.261,15,24,.625,13,33,46,26,10,6,12,20,34,80,.425,10,25,.400,12,17,.706,11,32,43,22,4,5,17,19,
L,99,114,42,87,.483,8,23,.348,7,17,.412,12,27,39,24,7,3,14,10,47,90,.522,10,25,.400,10,10,1.000,8,30,38,33,11,5,13,20,
W,92,86,35,70,.500,7,19,.368,15,21,.714,10,27,37,19,6,4,15,20,33,76,.434,6,24,.250,14,18,.778,10,25,35,16,9,3,13,22,
L,85,93,35,87,.402,6,22,.273,9,12,.750,15,28,43,17,13,5,15,21,36,71,.507,4,15,.267,17,24,.708,5,33,38,23,11,8,21,12,
L,89,96,36,84,.429,3,13,.231,14,22,.636,11,41,52,19,8,7,15,16,37,85,.435,8,23,.348,14,21,.667,11,35,46,20,10,2,14,14,
W,109,97,38,80,.475,5,17,.294,28,40,.700,13,31,44,20,9,3,9,19,35,77,.455,14,26,.538,13,18,.722,8,27,35,23,6,2,17,28,
W,113,94,43,80,.538,12,29,.414,15,23,.652,5,32,37,28,11,1,10,24,33,73,.452,6,19,.316,22,26,.846,10,29,39,23,5,4,18,20,
L,79,99,34,77,.442,2,12,.167,9,19,.474,12,26,38,12,11,4,15,19,42,79,.532,6,17,.353,9,12,.750,8,32,40,24,9,1,16,15,
L,102,106,44,100,.440,1,8,.125,13,25,.520,22,33,55,25,10,3,13,22,36,80,.450,14,31,.452,20,30,.667,11,33,44,24,11,8,17,21,
W,115,100,41,89,.461,10,28,.357,23,39,.590,16,41,57,26,12,7,23,20,38,88,.432,7,23,.304,17,19,.895,6,35,41,22,15,7,20,27,
W,107,97,41,80,.513,7,16,.438,18,26,.692,13,33,46,21,11,5,18,19,36,82,.439,9,28,.321,16,23,.696,13,21,34,19,12,3,19,18,
W,105,98,33,86,.384,7,21,.333,32,42,.762,21,34,55,21,7,11,15,21,36,91,.396,9,27,.333,17,22,.773,15,28,43,25,10,13,17,29,
W,92,75,34,80,.425,12,19,.632,12,15,.800,13,38,51,15,8,9,18,20,30,90,.333,3,18,.167,12,15,.800,11,33,44,17,8,7,13,11,
L,95,110,36,85,.424,7,20,.350,16,22,.727,16,27,43,17,10,2,17,21,40,72,.556,11,28,.393,19,21,.905,5,29,34,26,8,3,17,18,
L,94,121,39,83,.470,8,28,.286,8,16,.500,11,28,39,22,4,5,20,24,41,85,.482,11,24,.458,28,33,.848,14,32,46,31,12,0,12,16,
L</span>,106,111,42,96,.438,5,21,.238,17,27,.630,15,28,43,17,10,6,13,19,38,84,.452,9,23,.391,26,32,.813,16,35,51,23,10,7,15,22,
W,103,99,39,83,.470,3,10,.300,22,31,.710,9,34,43,23,2,4,13,21,36,79,.456,12,23,.522,15,20,.750,7,31,38,24,4,4,12,25,
L</span>,109,111,44,94,.468,3,15,.200,18,27,.667,18,35,53,19,5,5,14,22,41,99,.414,7,26,.269,22,26,.846,15,32,47,24,9,3,10,21,
W,101,96,38,88,.432,7,20,.350,18,28,.643,20,35,55,14,3,7,8,20,35,81,.432,6,17,.353,20,27,.741,9,31,40,18,5,4,7,20,
W,107,106,41,88,.466,10,27,.370,15,20,.750,13,23,36,22,14,4,16,18,40,81,.494,6,18,.333,20,22,.909,8,33,41,22,8,1,18,20,
L,106,116,42,90,.467,12,23,.522,10,17,.588,18,26,44,18,7,10,17,17,44,84,.524,3,10,.300,25,28,.893,10,33,43,19,12,10,12,17,
L,97,114,40,89,.449,1,12,.083,16,26,.615,11,26,37,22,8,8,8,17,44,79,.557,9,23,.391,17,23,.739,5,40,45,33,4,4,14,19,
W,115,92,46,96,.479,10,24,.417,13,18,.722,18,32,50,27,11,5,14,20,34,88,.386,8,28,.286,16,24,.667,13,26,39,20,5,4,19,16,
L,92,109,39,95,.411,5,18,.278,9,18,.500,19,29,48,16,6,5,15,22,45,85,.529,4,14,.286,15,23,.652,12,37,49,26,10,2,13,19,
L,82,106,31,77,.403,7,21,.333,13,17,.765,11,27,38,20,9,5,22,18,43,86,.500,9,19,.474,11,17,.647,16,30,46,34,10,5,17,20,
L,99,106,36,82,.439,6,20,.300,21,35,.600,18,25,43,26,9,2,16,24,39,78,.500,7,19,.368,21,27,.778,9,33,42,25,11,2,15,27,
L,84,112,35,86,.407,4,17,.235,10,20,.500,12,31,43,23,4,5,11,20,43,92,.467,8,15,.533,18,22,.818,19,40,59,31,4,4,10,15,
L,85,89,32,86,.372,3,19,.158,18,23,.783,16,38,54,19,8,4,16,20,33,81,.407,9,26,.346,14,20,.700,9,29,38,24,10,4,13,22,
L,91,112,34,86,.395,4,16,.250,19,35,.543,11,36,47,20,7,5,15,26,35,86,.407,11,31,.355,31,34,.912,12,43,55,25,5,10,12,30,
W,114,104,40,94,.426,11,30,.367,23,33,.697,25,37,62,24,12,14,18,19,41,95,.432,8,24,.333,14,20,.700,13,29,42,23,12,3,16,19,
W,110,108,44,94,.468,3,17,.176,19,27,.704,20,39,59,32,7,7,15,19,37,94,.394,13,35,.371,21,25,.840,16,29,45,24,8,3,12,23,
L,89,110,32,74,.432,4,16,.250,21,31,.677,8,24,32,15,5,3,15,19,43,79,.544,9,22,.409,15,19,.789,10,33,43,27,7,5,18,22,
W,104,98,40,81,.494,6,21,.286,18,31,.581,11,33,44,17,9,3,14,24,37,76,.487,8,21,.381,16,29,.552,6,29,35,22,7,1,19,26,
L,103,112,40,79,.506,2,14,.143,21,29,.724,8,22,30,17,10,4,12,28,40,72,.556,9,21,.429,23,37,.622,15,29,44,27,7,7,18,19,
L,101,104,36,84,.429,4,15,.267,25,34,.735,9,31,40,21,11,4,14,15,41,84,.488,8,27,.296,14,22,.636,12,33,45,29,11,7,18,24,
L,101,103,37,85,.435,6,18,.333,21,28,.750,17,27,44,18,11,4,16,21,37,73,.507,7,17,.412,22,24,.917,8,27,35,15,14,8,18,25,
L,106,116,43,91,.473,4,13,.308,16,28,.571,17,24,41,18,10,0,12,21,43,74,.581,7,21,.333,23,28,.821,7,32,39,23,6,7,17,19,
W,103,87,39,86,.453,6,20,.300,19,28,.679,17,39,56,22,7,7,15,20,32,77,.416,8,20,.400,15,25,.600,8,32,40,19,10,2,15,17,
W,113,96,41,92,.446,7,25,.280,24,40,.600,23,35,58,23,12,8,16,20,38,89,.427,5,21,.238,15,23,.652,13,31,44,17,12,2,19,28,
L,96,102,34,83,.410,6,18,.333,22,29,.759,19,32,51,19,11,4,21,20,39,85,.459,7,20,.350,17,21,.810,13,31,44,24,13,6,20,22,
L,98,112,39,85,.459,6,20,.300,14,23,.609,11,25,36,19,8,4,15,20,44,89,.494,6,18,.333,18,20,.900,12,32,44,29,10,8,11,20,
W,111,95,43,84,.512,9,17,.529,16,24,.667,15,42,57,26,10,9,22,19,32,89,.360,12,31,.387,19,29,.655,16,24,40,17,14,3,12,19,
W,126,109,50,98,.510,8,20,.400,18,23,.783,13,27,40,28,11,5,10,16,41,88,.466,15,33,.455,12,22,.545,15,32,47,24,4,5,20,17,
W,109,100,43,90,.478,5,16,.313,18,26,.692,18,24,42,16,13,4,11,19,43,82,.524,5,17,.294,9,11,.818,8,30,38,27,2,3,19,18,
L,89,93,33,83,.398,4,23,.174,19,27,.704,15,38,53,21,5,5,16,24,34,84,.405,5,15,.333,20,30,.667,13,32,45,17,9,2,10,21,
L,96,108,39,98,.398,5,16,.313,13,23,.565,16,36,52,20,6,3,7,24,39,75,.520,7,17,.412,23,37,.622,5,38,43,25,4,2,7,18,
L,98,116,38,90,.422,8,18,.444,14,20,.700,7,24,31,20,8,5,9,20,42,82,.512,8,20,.400,24,31,.774,8,41,49,32,5,11,15,18,
W,115,107,47,87,.540,8,20,.400,13,29,.448,16,30,46,32,6,5,11,20,40,88,.455,13,31,.419,14,20,.700,12,29,41,25,7,4,10,22,
L,102,113,40,82,.488,2,11,.182,20,30,.667,9,30,39,21,7,6,10,19,44,90,.489,8,23,.348,17,22,.773,16,34,50,31,8,6,14,19,
L,96,104,40,99,.404,4,13,.308,12,18,.667,16,29,45,26,7,6,8,23,38,82,.463,13,31,.419,15,22,.682,11,33,44,27,3,7,13,19,
L,110,120,45,90,.500,5,10,.500,15,17,.882,9,28,37,24,10,4,13,19,44,82,.537,9,19,.474,23,25,.920,9,28,37,34,10,7,18,16,
L,110,118,45,100,.450,4,19,.211,16,19,.842,20,27,47,22,11,7,13,24,42,84,.500,11,33,.333,23,33,.697,13,31,44,26,5,5,15,20,
W,96,85,35,83,.422,4,12,.333,22,30,.733,15,39,54,21,11,4,16,14,32,83,.386,10,28,.357,11,14,.786,12,28,40,16,8,6,16,27,
L,94,105,39,87,.448,2,11,.182,14,17,.824,8,24,32,25,5,6,7,12,43,80,.538,5,19,.263,14,17,.824,8,35,43,26,5,4,13,16,
L,101,114,38,94,.404,4,13,.308,21,30,.700,19,36,55,17,6,4,12,23,41,91,.451,6,20,.300,26,33,.788,14,36,50,25,7,3,10,19,
L,111,118,40,86,.465,4,15,.267,27,39,.692,19,35,54,17,3,5,16,20,47,97,.485,10,31,.323,14,21,.667,12,27,39,38,8,6,5,27,
W,99,89,38,87,.437,7,18,.389,16,19,.842,10,37,47,26,9,7,11,24,34,84,.405,3,15,.200,18,30,.600,13,37,50,18,6,7,16,19,
L,87,101,34,78,.436,9,22,.409,10,24,.417,9,30,39,15,8,3,16,17,37,88,.420,8,20,.400,19,25,.760,15,39,54,19,9,3,16,20,
L</span>,104,112,37,91,.407,7,23,.304,23,30,.767,8,36,44,24,9,7,11,21,41,104,.394,7,24,.292,23,25,.920,18,44,62,24,6,5,10,24,
L,109,118,43,95,.453,10,26,.385,13,19,.684,12,31,43,22,8,4,12,20,44,86,.512,11,27,.407,19,27,.704,10,36,46,27,7,5,12,24,
L,92,98,39,90,.433,4,16,.250,10,26,.385,14,39,53,22,8,3,19,27,33,73,.452,8,25,.320,24,35,.686,4,35,39,17,11,7,11,21,
L,103,112,42,93,.452,12,29,.414,7,13,.538,16,30,46,29,9,2,15,15,45,83,.542,11,29,.379,11,17,.647,7,33,40,31,13,10,13,15,
