W,97,87,34,71,.479,7,17,.412,22,32,.688,10,34,44,17,4,18,20,13,36,93,.387,9,19,.474,6,10,.600,13,26,39,17,10,6,17,26,
W,95,90,30,70,.429,10,23,.435,25,30,.833,6,31,37,19,5,12,16,18,34,85,.400,5,11,.455,17,21,.810,15,28,43,17,7,5,15,29,
W,89,74,32,77,.416,10,28,.357,15,20,.750,10,41,51,24,6,6,20,16,29,83,.349,3,15,.200,13,15,.867,6,31,37,11,15,1,16,25,
W,99,91,38,73,.521,9,21,.429,14,23,.609,4,41,45,26,6,9,18,21,33,87,.379,5,25,.200,20,25,.800,13,29,42,13,10,6,14,24,
W,97,80,36,86,.419,7,18,.389,18,21,.857,17,35,52,21,9,7,14,24,26,73,.356,5,15,.333,23,27,.852,11,29,40,15,4,5,17,20,
W,91,84,36,78,.462,6,21,.286,13,16,.813,9,29,38,20,5,6,15,19,32,81,.395,6,18,.333,14,16,.875,15,27,42,16,7,6,15,22,
W,96,91,37,80,.463,7,14,.500,15,20,.750,11,31,42,24,9,3,13,18,35,76,.461,8,19,.421,13,16,.813,7,31,38,20,9,2,15,21,
W,95,79,37,76,.487,6,19,.316,15,18,.833,9,36,45,25,5,9,13,22,31,75,.413,4,8,.500,13,19,.684,7,25,32,19,6,4,10,20,
W,104,77,40,79,.506,5,16,.313,19,21,.905,9,35,44,14,5,11,13,20,30,88,.341,8,16,.500,9,11,.818,17,23,40,14,3,10,15,24,
L,94,110,34,85,.400,4,16,.250,22,28,.786,12,25,37,16,5,8,9,19,40,79,.506,11,19,.579,19,24,.792,9,33,42,25,6,6,13,24,
W</span>,103,96,33,87,.379,9,30,.300,28,36,.778,10,39,49,16,7,8,14,19,37,100,.370,8,30,.267,14,17,.824,16,36,52,15,9,5,15,32,
W,97,82,38,81,.469,6,17,.353,15,18,.833,15,26,41,19,13,3,15,13,35,69,.507,5,11,.455,7,9,.778,5,26,31,11,8,1,21,16,
W,106,98,35,76,.461,5,18,.278,31,38,.816,8,42,50,20,5,11,19,21,35,102,.343,4,25,.160,24,32,.750,23,31,54,11,15,6,14,27,
W,98,84,40,80,.500,8,15,.533,10,17,.588,7,38,45,19,13,5,20,24,29,88,.330,3,19,.158,23,28,.821,14,32,46,15,9,1,19,18,
W,99,74,32,84,.381,10,25,.400,25,32,.781,12,45,57,20,8,4,15,23,26,83,.313,3,9,.333,19,28,.679,11,32,43,13,3,6,15,27,
W,93,73,38,85,.447,9,22,.409,8,10,.800,14,35,49,27,12,1,16,15,29,73,.397,6,18,.333,9,13,.692,6,31,37,16,5,10,17,12,
W,105,100,39,89,.438,8,26,.308,19,26,.731,17,33,50,25,5,4,16,25,36,82,.439,4,15,.267,24,31,.774,12,29,41,19,8,2,11,23,
L,102,106,39,88,.443,9,22,.409,15,17,.882,9,33,42,25,9,2,15,28,36,76,.474,5,13,.385,29,33,.879,6,34,40,17,3,4,14,20,
W,95,86,40,84,.476,3,16,.188,12,15,.800,7,34,41,24,7,4,8,17,33,80,.413,4,11,.364,16,18,.889,11,29,40,21,5,2,14,20,
W,111,100,38,71,.535,9,19,.474,26,28,.929,8,33,41,22,8,3,14,16,41,91,.451,13,26,.500,5,6,.833,10,24,34,24,6,1,11,21,
