W,116,103,42,93,.452,14,29,.483,18,28,.643,18,34,52,23,8,6,19,23,41,83,.494,8,21,.381,13,23,.565,10,30,40,27,11,4,16,21,
L,94,125,35,89,.393,8,18,.444,16,21,.762,9,30,39,19,5,4,16,22,46,86,.535,15,27,.556,18,23,.783,7,41,48,34,8,9,15,22,
L,85,91,30,82,.366,8,27,.296,17,24,.708,8,38,46,22,4,7,12,19,38,94,.404,5,21,.238,10,14,.714,12,38,50,20,7,0,12,18,
W,105,103,38,89,.427,9,25,.360,20,24,.833,6,47,53,27,5,7,13,24,40,90,.444,9,22,.409,14,26,.538,10,42,52,26,9,3,11,22,
L,104,123,39,88,.443,12,31,.387,14,20,.700,9,26,35,21,9,4,14,12,49,94,.521,13,27,.481,12,14,.857,10,40,50,34,10,3,12,14,
W,99,98,36,92,.391,16,35,.457,11,15,.733,13,34,47,26,8,6,24,36,29,77,.377,7,27,.259,33,52,.635,8,36,44,17,12,7,17,17,
L,85,96,31,80,.388,6,19,.316,17,26,.654,12,36,48,19,2,4,14,18,38,87,.437,3,9,.333,17,22,.773,11,39,50,25,10,8,8,22,
L,90,113,35,92,.380,10,26,.385,10,18,.556,16,30,46,24,8,8,18,16,44,90,.489,10,20,.500,15,19,.789,12,41,53,29,14,5,21,15,
W,116,95,44,79,.557,11,20,.550,17,21,.810,9,44,53,33,7,4,19,31,34,84,.405,3,10,.300,24,33,.727,9,22,31,23,11,3,13,20,
L,99,111,37,94,.394,8,21,.381,17,26,.654,19,32,51,20,4,9,14,27,40,100,.400,6,21,.286,25,37,.676,23,35,58,23,11,8,8,20,
L,86,89,35,80,.438,10,24,.417,6,11,.545,4,36,40,25,6,8,11,17,37,85,.435,1,13,.077,14,14,1.000,10,41,51,27,7,5,9,13,
W,114,99,47,90,.522,10,25,.400,10,10,1.000,8,30,38,33,11,5,13,20,42,87,.483,8,23,.348,7,17,.412,12,27,39,24,7,3,14,10,
W,102,95,39,82,.476,11,24,.458,13,17,.765,7,29,36,21,10,4,14,22,34,82,.415,9,22,.409,18,28,.643,16,34,50,23,8,2,18,20,
W,100,86,40,87,.460,8,26,.308,12,15,.800,9,35,44,20,8,9,10,17,35,84,.417,8,24,.333,8,15,.533,7,35,42,24,6,3,13,17,
L,111,116,44,83,.530,13,28,.464,10,13,.769,9,25,34,30,4,5,16,19,46,87,.529,6,21,.286,18,22,.818,10,32,42,25,15,2,10,14,
W,99,94,34,85,.400,13,30,.433,18,22,.818,11,37,48,21,5,7,10,24,31,83,.373,11,30,.367,21,26,.808,11,33,44,21,6,10,12,23,
W,106,102,36,80,.450,14,31,.452,20,30,.667,11,33,44,24,11,8,17,21,44,100,.440,1,8,.125,13,25,.520,22,33,55,25,10,3,13,22,
L,108,114,40,87,.460,10,28,.357,18,23,.783,9,32,41,25,8,7,9,21,38,87,.437,9,23,.391,29,34,.853,15,37,52,28,6,1,12,19,
W,106,100,41,86,.477,12,32,.375,12,18,.667,10,26,36,24,10,7,12,20,37,86,.430,10,22,.455,16,22,.727,18,33,51,25,10,4,15,19,
L,94,106,34,79,.430,9,28,.321,17,20,.850,8,32,40,22,7,3,19,23,40,82,.488,4,26,.154,22,25,.880,6,32,38,19,11,4,11,18,
L,108,114,39,80,.488,5,19,.263,25,32,.781,7,26,33,22,7,3,11,20,44,85,.518,7,23,.304,19,21,.905,10,33,43,24,6,3,13,22,
L,97,122,36,87,.414,7,25,.280,18,31,.581,15,26,41,26,7,4,19,17,47,99,.475,8,25,.320,20,23,.870,20,39,59,34,14,8,14,25,
W,88,85,30,77,.390,7,20,.350,21,23,.913,8,32,40,19,4,8,15,11,39,89,.438,2,13,.154,5,8,.625,12,34,46,22,10,9,13,16,
L,100,114,39,82,.476,5,21,.238,17,21,.810,12,31,43,18,6,4,14,16,45,92,.489,11,27,.407,13,15,.867,15,29,44,34,10,6,10,18,
W,96,92,37,75,.493,7,22,.318,15,19,.789,4,33,37,16,8,10,14,18,37,91,.407,5,16,.313,13,17,.765,18,31,49,20,10,2,14,18,
W,104,91,42,78,.538,7,19,.368,13,15,.867,7,36,43,27,7,9,19,19,33,95,.347,5,22,.227,20,25,.800,22,27,49,21,10,2,16,16,
L,83,102,26,80,.325,4,20,.200,27,33,.818,12,38,50,11,8,5,24,18,38,98,.388,12,31,.387,14,19,.737,16,39,55,19,14,5,16,24,
L,90,117,30,81,.370,6,20,.300,24,37,.649,8,31,39,12,5,3,11,19,42,90,.467,14,32,.438,19,25,.760,13,49,62,24,5,7,15,22,
L,95,101,33,79,.418,14,36,.389,15,26,.577,12,35,47,15,8,4,17,19,41,80,.513,9,27,.333,10,17,.588,7,36,43,29,9,2,12,20,
L,103,105,40,80,.500,7,23,.304,16,23,.696,8,29,37,16,8,4,14,19,40,88,.455,9,23,.391,16,20,.800,11,32,43,25,9,3,15,18,
L,104,111,31,84,.369,12,37,.324,30,34,.882,18,37,55,20,4,8,20,20,39,95,.411,6,24,.250,27,33,.818,17,32,49,24,13,6,10,24,
