L,87,97,36,93,.387,9,19,.474,6,10,.600,13,26,39,17,10,6,17,26,34,71,.479,7,17,.412,22,32,.688,10,34,44,17,4,18,20,13,
L</span>,115,120,47,100,.470,10,27,.370,11,18,.611,14,40,54,21,7,6,18,29,42,100,.420,8,25,.320,28,34,.824,14,35,49,27,7,3,14,19,
W,110,90,39,70,.557,11,22,.500,21,27,.778,5,39,44,22,11,7,18,19,32,92,.348,6,12,.500,20,26,.769,17,27,44,16,7,5,12,21,
W,107,86,42,89,.472,7,17,.412,16,22,.727,13,41,54,19,7,4,15,19,34,89,.382,4,17,.235,14,15,.933,11,31,42,23,5,8,12,23,
W,98,90,40,82,.488,5,16,.313,13,17,.765,7,44,51,21,7,4,15,17,36,95,.379,3,19,.158,15,21,.714,15,36,51,20,9,5,13,19,
L,89,91,33,83,.398,4,20,.200,19,29,.655,16,40,56,19,4,4,20,24,34,95,.358,2,14,.143,21,26,.808,19,31,50,19,11,5,11,24,
L,94,104,38,82,.463,8,17,.471,10,18,.556,9,27,36,22,9,2,17,24,43,90,.478,6,19,.316,12,17,.706,7,32,39,36,9,6,12,15,
L,105,120,39,85,.459,7,18,.389,20,23,.870,14,23,37,27,7,4,18,18,51,85,.600,5,12,.417,13,15,.867,8,28,36,28,11,7,13,19,
W,94,91,35,82,.427,9,26,.346,15,21,.714,13,32,45,20,7,8,15,17,33,74,.446,5,13,.385,20,22,.909,7,32,39,16,9,7,18,19,
L,100,108,37,70,.529,4,15,.267,22,28,.786,5,35,40,22,4,1,17,21,43,84,.512,10,27,.370,12,18,.667,5,25,30,27,12,3,8,22,
L,92,120,29,71,.408,15,29,.517,19,21,.905,7,18,25,19,13,5,24,23,38,74,.514,15,24,.625,29,32,.906,12,28,40,27,12,6,21,15,
L,99,101,34,73,.466,10,23,.435,21,29,.724,10,31,41,19,8,3,16,23,37,78,.474,6,25,.240,21,26,.808,4,29,33,19,6,3,12,19,
L,96,104,39,84,.464,6,21,.286,12,14,.857,7,34,41,24,4,5,12,15,46,95,.484,11,29,.379,1,3,.333,10,34,44,25,5,9,9,14,
W,109,92,42,83,.506,8,22,.364,17,20,.850,6,37,43,29,8,3,12,20,30,73,.411,9,22,.409,23,27,.852,4,31,35,22,7,5,14,19,
W,105,94,43,82,.524,4,19,.211,15,21,.714,7,38,45,22,10,6,17,16,38,85,.447,7,22,.318,11,17,.647,9,31,40,22,8,4,15,15,
L,91,109,34,78,.436,9,19,.474,14,15,.933,4,24,28,20,8,5,15,13,42,76,.553,8,17,.471,17,17,1.000,7,36,43,24,10,4,19,12,
L,80,98,30,77,.390,3,15,.200,17,19,.895,9,31,40,14,9,4,16,24,33,73,.452,9,13,.692,23,29,.793,7,35,42,21,5,4,17,22,
L</span>,125,126,47,94,.500,6,26,.231,25,32,.781,8,26,34,28,13,3,18,27,46,96,.479,11,29,.379,23,33,.697,20,36,56,20,10,4,23,27,
L,83,121,30,70,.429,10,25,.400,13,20,.650,4,27,31,19,5,3,12,19,44,83,.530,17,34,.500,16,19,.842,10,35,45,25,8,5,10,20,
L,88,98,32,93,.344,8,29,.276,16,28,.571,15,28,43,14,13,7,7,29,32,76,.421,10,33,.303,24,42,.571,15,45,60,22,5,10,18,20,
L,85,94,30,75,.400,6,22,.273,19,20,.950,3,32,35,12,7,8,12,15,36,86,.419,10,17,.588,12,17,.706,11,41,52,23,4,4,14,21,
W,92,83,38,90,.422,7,19,.368,9,9,1.000,14,38,52,18,6,4,14,17,31,84,.369,4,17,.235,17,18,.944,9,32,41,23,6,7,10,14,
L,100,109,37,85,.435,11,30,.367,15,16,.938,8,37,45,22,7,5,12,21,42,87,.483,8,21,.381,17,20,.850,7,37,44,18,6,3,10,16,
L,98,101,37,82,.451,7,24,.292,17,26,.654,9,36,45,19,7,2,14,18,39,87,.448,5,19,.263,18,20,.900,11,34,45,23,10,7,13,19,
W,83,82,33,83,.398,5,12,.417,12,16,.750,9,45,54,21,4,3,11,20,28,81,.346,5,18,.278,21,26,.808,7,38,45,19,4,5,5,20,
L,82,86,28,86,.326,7,15,.467,19,20,.950,13,35,48,12,7,6,10,18,33,82,.402,8,21,.381,12,15,.800,11,36,47,19,5,10,16,17,
L,100,105,39,82,.476,8,20,.400,14,23,.609,11,31,42,17,8,6,17,24,39,79,.494,12,23,.522,15,23,.652,12,32,44,17,8,4,15,23,
L,98,103,37,89,.416,8,25,.320,16,22,.727,12,32,44,24,4,4,9,21,39,86,.453,10,21,.476,15,19,.789,9,38,47,19,3,4,9,21,
W,109,92,45,85,.529,4,14,.286,15,23,.652,12,37,49,26,10,2,13,19,39,95,.411,5,18,.278,9,18,.500,19,29,48,16,6,5,15,22,
W,109,102,41,74,.554,8,21,.381,19,24,.792,4,36,40,30,10,3,17,20,36,81,.444,15,39,.385,15,21,.714,7,29,36,20,9,3,13,23,
L,81,94,34,89,.382,5,19,.263,8,13,.615,9,28,37,19,7,3,9,13,41,85,.482,6,27,.222,6,10,.600,12,44,56,21,3,11,17,13,
L</span>,81,87,32,84,.381,7,25,.280,10,18,.556,8,41,49,21,5,12,14,20,33,96,.344,4,19,.211,17,24,.708,17,42,59,22,6,5,12,21,
L,94,110,33,80,.413,8,26,.308,20,24,.833,12,29,41,16,6,3,15,24,40,74,.541,6,16,.375,24,31,.774,7,33,40,23,9,2,15,16,
L,81,101,30,84,.357,7,19,.368,14,21,.667,15,35,50,15,8,1,17,20,35,83,.422,11,31,.355,20,24,.833,13,38,51,30,9,10,14,17,
L,94,110,33,83,.398,7,20,.350,21,27,.778,10,32,42,21,5,2,9,12,45,95,.474,9,30,.300,11,13,.846,11,36,47,27,6,9,7,16,
L,83,103,26,78,.333,8,27,.296,23,29,.793,11,26,37,15,9,2,13,19,41,80,.513,3,14,.214,18,19,.947,11,43,54,23,7,3,14,22,
L,94,120,37,84,.440,4,20,.200,16,23,.696,8,32,40,23,4,4,11,19,44,87,.506,12,28,.429,20,26,.769,12,38,50,30,5,7,10,21,
L,88,107,34,76,.447,7,24,.292,13,16,.813,8,29,37,18,8,1,15,18,40,79,.506,13,27,.481,14,15,.933,9,31,40,21,6,6,12,16,
L</span>,125,128,53,104,.510,6,26,.231,13,16,.813,8,44,52,24,9,5,18,28,48,113,.425,12,33,.364,20,23,.870,18,41,59,31,9,6,17,22,
L,101,111,38,82,.463,10,25,.400,15,21,.714,6,32,38,25,5,6,14,22,39,74,.527,7,15,.467,26,35,.743,4,32,36,25,6,6,12,15,
W,93,91,30,71,.423,4,15,.267,29,36,.806,11,38,49,20,6,5,17,18,33,90,.367,3,13,.231,22,24,.917,15,31,46,16,7,5,10,25,
L,90,101,33,72,.458,7,19,.368,17,23,.739,6,31,37,23,5,2,13,14,40,81,.494,10,28,.357,11,13,.846,6,30,36,29,9,5,8,16,
