W,114,110,43,80,.538,8,21,.381,20,24,.833,8,32,40,24,16,1,18,21,42,85,.494,16,40,.400,10,13,.769,7,24,31,30,7,0,19,25,
W,109,102,48,94,.511,6,23,.261,7,14,.500,9,37,46,26,8,6,19,17,41,94,.436,9,26,.346,11,17,.647,15,31,46,23,14,6,17,16,
W,107,104,42,86,.488,11,22,.500,12,18,.667,10,29,39,24,8,6,15,18,42,93,.452,3,14,.214,17,19,.895,17,34,51,28,8,5,18,14,
L,90,110,31,88,.352,5,25,.200,23,37,.622,14,38,52,19,9,3,24,18,41,92,.446,15,38,.395,13,20,.650,13,41,54,28,18,7,22,24,
L,102,116,39,83,.470,6,18,.333,18,26,.692,11,39,50,26,5,3,20,15,43,98,.439,18,33,.545,12,16,.750,10,30,40,32,10,5,11,20,
W,94,79,40,84,.476,7,21,.333,7,9,.778,12,35,47,25,5,8,17,18,30,90,.333,9,26,.346,10,14,.714,18,25,43,22,9,4,13,12,
L</span>,125,127,47,99,.475,11,27,.407,20,23,.870,9,35,44,24,10,3,19,22,46,102,.451,13,31,.419,22,29,.759,14,36,50,28,10,10,18,21,
L,85,109,34,82,.415,5,19,.263,12,16,.750,11,29,40,19,4,9,15,12,44,89,.494,13,28,.464,8,11,.727,11,39,50,29,9,2,12,15,
W</span>,123,117,43,103,.417,11,25,.440,26,34,.765,15,35,50,29,12,8,13,23,43,96,.448,15,41,.366,16,25,.640,13,37,50,34,8,15,19,27,
L,103,113,40,86,.465,5,19,.263,18,23,.783,9,30,39,21,6,4,16,19,39,81,.481,10,23,.435,25,31,.806,6,37,43,25,6,5,15,23,
L,98,135,35,83,.422,6,19,.316,22,31,.710,10,28,38,16,8,2,17,21,52,86,.605,13,28,.464,18,27,.667,10,33,43,30,11,17,13,25,
L,94,97,38,99,.384,6,21,.286,12,22,.545,18,35,53,24,12,4,12,22,34,78,.436,9,29,.310,20,26,.769,10,43,53,26,8,11,20,20,
L,98,108,34,76,.447,7,20,.350,23,31,.742,9,41,50,20,5,4,20,23,36,86,.419,14,29,.483,22,28,.786,9,32,41,24,7,9,10,23,
W</span>,115,107,45,79,.570,7,20,.350,18,29,.621,10,40,50,34,8,4,26,26,41,93,.441,8,29,.276,17,24,.708,10,22,32,34,9,4,16,23,
L,98,106,35,102,.343,4,25,.160,24,32,.750,23,31,54,11,15,6,14,27,35,76,.461,5,18,.278,31,38,.816,8,42,50,20,5,11,19,21,
L,94,105,38,85,.447,7,22,.318,11,17,.647,9,31,40,22,8,4,15,15,43,82,.524,4,19,.211,15,21,.714,7,38,45,22,10,6,17,16,
L,105,121,42,92,.457,12,31,.387,9,21,.429,18,31,49,28,6,4,18,19,51,93,.548,8,20,.400,11,14,.786,10,30,40,30,13,9,12,21,
L,100,115,38,88,.432,7,23,.304,17,19,.895,6,35,41,22,15,7,20,27,41,89,.461,10,28,.357,23,39,.590,16,41,57,26,12,7,23,20,
W</span>,126,125,46,96,.479,11,29,.379,23,33,.697,20,36,56,20,10,4,23,27,47,94,.500,6,26,.231,25,32,.781,8,26,34,28,13,3,18,27,
L,88,105,37,92,.402,6,27,.222,8,13,.615,11,39,50,21,4,4,15,20,42,91,.462,4,21,.190,17,25,.680,12,36,48,29,9,7,9,15,
L,92,103,40,88,.455,3,16,.188,9,14,.643,11,27,38,19,4,4,13,24,35,83,.422,7,22,.318,26,34,.765,20,32,52,21,8,4,11,17,
L,83,94,33,92,.359,3,21,.143,14,19,.737,14,36,50,26,7,0,16,26,35,82,.427,5,27,.185,19,29,.655,9,40,49,20,10,4,12,22,
L,99,106,39,74,.527,9,20,.450,12,14,.857,5,32,37,22,7,7,26,25,37,96,.385,7,20,.350,25,29,.862,17,28,45,23,9,2,13,15,
L,100,108,37,84,.440,9,23,.391,17,21,.810,12,30,42,19,7,5,17,18,39,82,.476,10,25,.400,20,24,.833,10,37,47,24,8,5,15,19,
L,105,139,39,87,.448,9,15,.600,18,26,.692,9,24,33,26,9,5,14,15,52,93,.559,21,37,.568,14,20,.700,15,31,46,41,9,8,18,16,
L,94,130,37,90,.411,8,30,.267,12,20,.600,8,31,39,21,14,0,19,24,47,78,.603,21,35,.600,15,26,.577,4,38,42,35,10,2,20,20,
W</span>,121,120,51,100,.510,9,29,.310,10,15,.667,12,37,49,36,8,2,17,21,42,85,.494,15,33,.455,21,30,.700,5,31,36,36,10,5,16,18,
L,106,116,38,93,.409,10,23,.435,20,22,.909,17,27,44,25,6,1,17,22,43,82,.524,7,25,.280,23,25,.920,9,34,43,23,9,9,13,20,
L,101,115,37,95,.389,11,29,.379,16,22,.727,15,34,49,19,12,3,20,24,44,95,.463,9,33,.273,18,23,.783,15,42,57,24,9,11,19,21,
W,111,104,39,95,.411,6,24,.250,27,33,.818,17,32,49,24,13,6,10,24,31,84,.369,12,37,.324,30,34,.882,18,37,55,20,4,8,20,20,
W,114,102,43,92,.467,9,23,.391,19,28,.679,14,39,53,23,10,5,17,25,36,91,.396,5,25,.200,25,35,.714,15,33,48,23,7,8,14,28,
W,113,104,42,90,.467,5,19,.263,24,31,.774,13,34,47,23,12,11,12,31,35,83,.422,7,23,.304,27,37,.730,16,35,51,14,4,7,22,27,
