<<<<<<< HEAD
W,104,91,43,83,.518,4,19,.211,14,18,.778,11,36,47,18,8,5,15,17,33,81,.407,8,26,.308,17,24,.708,11,28,39,19,5,5,13,14,
W,87,84,31,83,.373,6,22,.273,19,24,.792,16,30,46,15,10,10,16,24,31,85,.365,5,17,.294,17,27,.630,22,31,53,20,3,1,20,20,
L,96,103,32,80,.400,14,37,.378,18,22,.818,12,31,43,21,11,3,23,23,35,82,.427,2,18,.111,31,37,.838,10,31,41,20,8,4,15,22,
W,104,98,39,78,.500,12,25,.480,14,22,.636,7,34,41,25,10,4,15,20,37,85,.435,10,18,.556,14,19,.737,8,32,40,26,12,11,13,20,
L,96,99,42,85,.494,7,19,.368,5,9,.556,5,38,43,14,7,5,18,17,41,85,.482,6,16,.375,11,15,.733,6,33,39,25,5,7,14,17,
W,114,103,40,83,.482,9,20,.450,25,32,.781,11,37,48,21,11,3,20,22,36,80,.450,8,22,.364,23,28,.821,7,30,37,17,11,2,20,26,
W,101,94,38,78,.487,7,22,.318,18,23,.783,10,30,40,14,10,11,14,16,39,88,.443,4,13,.308,12,13,.923,14,29,43,20,6,3,15,20,
L,89,90,37,86,.430,5,15,.333,10,13,.769,10,31,41,16,11,1,14,21,35,84,.417,6,15,.400,14,23,.609,14,37,51,15,5,3,16,13,
L</span>,98,100,34,79,.430,10,28,.357,20,25,.800,9,33,42,17,8,4,16,23,38,87,.437,2,12,.167,22,29,.759,14,35,49,14,8,4,12,25,
L,104,107,37,79,.468,10,29,.345,20,28,.714,6,25,31,23,9,3,16,23,39,83,.470,8,22,.364,21,28,.750,15,33,48,21,8,3,20,24,
L,106,113,38,85,.447,15,33,.455,15,22,.682,13,24,37,12,6,6,17,26,37,80,.463,7,17,.412,32,38,.842,9,33,42,19,11,2,10,23,
W,98,91,33,70,.471,10,23,.435,22,38,.579,9,34,43,21,8,5,21,25,32,77,.416,3,14,.214,24,33,.727,11,30,41,17,9,4,16,28,
W,104,96,46,95,.484,11,29,.379,1,3,.333,10,34,44,25,5,9,9,14,39,84,.464,6,21,.286,12,14,.857,7,34,41,24,4,5,12,15,
L,92,107,33,83,.398,8,32,.250,18,24,.750,14,31,45,17,10,1,15,18,39,79,.494,7,22,.318,22,24,.917,7,31,38,20,9,4,14,17,
W,120,106,42,81,.519,10,24,.417,26,31,.839,13,30,43,22,9,4,10,22,39,86,.453,7,19,.368,21,24,.875,15,24,39,21,4,2,12,20,
W,112,101,41,75,.547,8,25,.320,22,25,.880,6,24,30,18,4,5,8,17,40,83,.482,5,20,.250,16,20,.800,13,26,39,21,5,1,11,18,
