L,102,113,34,78,.436,10,25,.400,24,32,.750,13,25,38,23,5,3,16,30,39,78,.500,9,24,.375,26,33,.788,12,32,44,24,6,4,18,27,
L,102,109,41,94,.436,9,26,.346,11,17,.647,15,31,46,23,14,6,17,16,48,94,.511,6,23,.261,7,14,.500,9,37,46,26,8,6,19,17,
L,93,103,35,82,.427,12,30,.400,11,16,.688,17,24,41,22,8,2,20,26,37,70,.529,11,27,.407,18,27,.667,8,24,32,32,9,6,16,18,
W,116,102,43,98,.439,18,33,.545,12,16,.750,10,30,40,32,10,5,11,20,39,83,.470,6,18,.333,18,26,.692,11,39,50,26,5,3,20,15,
W</span>,112,108,41,88,.466,10,24,.417,20,26,.769,7,29,36,28,10,4,16,19,41,88,.466,6,24,.250,20,29,.690,11,40,51,23,11,3,21,27,
L</span>,105,106,40,88,.455,12,29,.414,13,26,.500,7,34,41,23,5,7,12,19,41,92,.446,6,20,.300,18,22,.818,16,42,58,21,7,8,17,20,
L,95,105,33,75,.440,9,26,.346,20,29,.690,11,33,44,24,12,4,19,20,41,84,.488,10,26,.385,13,19,.684,11,31,42,25,9,2,15,20,
L,79,92,33,91,.363,5,15,.333,8,11,.727,12,32,44,15,11,3,9,11,39,77,.506,8,22,.364,6,8,.750,5,42,47,28,6,4,17,14,
L</span>,96,103,37,93,.398,6,25,.240,16,22,.727,13,34,47,22,11,3,18,17,36,81,.444,10,21,.476,21,22,.955,7,39,46,18,12,6,20,19,
W,104,100,41,85,.482,7,15,.467,15,15,1.000,7,34,41,31,10,5,11,24,37,85,.435,10,28,.357,16,24,.667,12,30,42,22,6,4,13,17,
W,98,91,38,84,.452,8,19,.421,14,14,1.000,15,29,44,31,6,5,14,17,32,77,.416,9,23,.391,18,21,.857,13,25,38,19,5,0,15,20,
L,88,96,36,86,.419,6,17,.353,10,13,.769,9,30,39,17,6,4,14,22,37,78,.474,5,18,.278,17,23,.739,13,33,46,22,5,8,14,20,
W,98,89,37,76,.487,7,19,.368,17,22,.773,11,34,45,23,4,4,12,18,36,82,.439,11,29,.379,6,15,.400,11,29,40,24,7,3,9,24,
W,116,111,46,87,.529,6,21,.286,18,22,.818,10,32,42,25,15,2,10,14,44,83,.530,13,28,.464,10,13,.769,9,25,34,30,4,5,16,19,
W</span>,100,92,37,74,.500,10,26,.385,16,22,.727,5,29,34,27,14,2,19,9,37,85,.435,10,25,.400,8,10,.800,11,33,44,26,7,1,22,20,
L,73,93,29,73,.397,6,18,.333,9,13,.692,6,31,37,16,5,10,17,12,38,85,.447,9,22,.409,8,10,.800,14,35,49,27,12,1,16,15,
W,108,101,38,78,.487,12,24,.500,20,30,.667,6,32,38,24,12,5,16,20,36,81,.444,7,17,.412,22,26,.846,9,31,40,19,7,6,16,18,
W,98,80,33,73,.452,9,13,.692,23,29,.793,7,35,42,21,5,4,17,22,30,77,.390,3,15,.200,17,19,.895,9,31,40,14,9,4,16,24,
L</span>,105,109,33,83,.398,8,27,.296,31,41,.756,13,33,46,22,12,10,14,26,42,92,.457,6,20,.300,19,26,.731,12,36,48,24,6,3,15,25,
L,74,75,32,89,.360,5,24,.208,5,9,.556,16,30,46,18,10,7,14,16,30,73,.411,7,21,.333,8,14,.571,12,36,48,19,10,4,20,16,
L</span>,99,101,42,100,.420,4,14,.286,11,18,.611,18,42,60,26,4,3,17,20,38,89,.427,7,21,.333,18,24,.750,11,35,46,27,10,1,15,14,
L,97,113,40,81,.494,3,14,.214,14,20,.700,9,24,33,21,6,3,13,26,39,69,.565,9,21,.429,26,31,.839,5,29,34,27,9,3,10,20,
